w  L  F   dF   ddF gamma2
9.799999999999999822e-01  2.040000000000000036e+00  3.439999999999999725e-01  -3.991999999999999993e-01  -9.578999999999999737e-01  -1.000000000000000000e+00
9.899999999999999911e-01  2.020000000000000018e+00  3.400000000000000244e-01  -4.087000000000000077e-01  -9.502000000000000446e-01  -1.000000000000000000e+00
1.000000000000000000e+00  2.000000000000000000e+00  3.357999999999999874e-01  -4.182000000000000162e-01  -9.425999999999999934e-01  -1.000000000000000000e+00
1.010000000000000009e+00  1.979999999999999982e+00  3.316000000000000059e-01  -4.275999999999999801e-01  -9.348999999999999533e-01  -1.000000000000000000e+00
1.020000000000000018e+00  1.959999999999999964e+00  3.272999999999999798e-01  -4.369000000000000106e-01  -9.272000000000000242e-01  -1.000000000000000000e+00
1.030000000000000027e+00  1.939999999999999947e+00  3.229000000000000203e-01  -4.460999999999999965e-01  -9.193999999999999950e-01  -1.000000000000000000e+00
1.040000000000000036e+00  1.919999999999999929e+00  3.184000000000000163e-01  -4.552999999999999825e-01  -9.115999999999999659e-01  -1.000000000000000000e+00
1.050000000000000044e+00  1.899999999999999911e+00  3.138000000000000234e-01  -4.643999999999999795e-01  -9.036999999999999478e-01  -1.000000000000000000e+00
1.060000000000000053e+00  1.879999999999999893e+00  3.090999999999999859e-01  -4.733999999999999875e-01  -8.958000000000000407e-01  -1.000000000000000000e+00
1.070000000000000062e+00  1.860000000000000098e+00  3.043000000000000149e-01  -4.823000000000000065e-01  -8.879000000000000226e-01  -1.000000000000000000e+00
1.080000000000000071e+00  1.840000000000000080e+00  2.993999999999999995e-01  -4.910999999999999810e-01  -8.799000000000000155e-01  -1.000000000000000000e+00
1.090000000000000080e+00  1.820000000000000062e+00  2.944999999999999840e-01  -4.999000000000000110e-01  -8.719000000000000083e-01  -1.000000000000000000e+00
1.100000000000000089e+00  1.800000000000000044e+00  2.893999999999999906e-01  -5.086000000000000520e-01  -8.639000000000000012e-01  -1.000000000000000000e+00
1.110000000000000098e+00  1.780000000000000027e+00  2.842999999999999972e-01  -5.171999999999999931e-01  -8.558999999999999941e-01  -1.000000000000000000e+00
1.120000000000000107e+00  1.760000000000000009e+00  2.791000000000000147e-01  -5.256999999999999451e-01  -8.477999999999999980e-01  -1.000000000000000000e+00
1.129999999999999893e+00  1.739999999999999991e+00  2.737999999999999878e-01  -5.341000000000000192e-01  -8.397000000000000020e-01  -1.000000000000000000e+00
1.139999999999999902e+00  1.719999999999999973e+00  2.684000000000000274e-01  -5.424999999999999822e-01  -8.316000000000000059e-01  -1.000000000000000000e+00
1.149999999999999911e+00  1.699999999999999956e+00  2.629000000000000226e-01  -5.506999999999999673e-01  -8.235000000000000098e-01  -1.000000000000000000e+00
1.159999999999999920e+00  1.679999999999999938e+00  2.574000000000000177e-01  -5.588999999999999524e-01  -8.153000000000000247e-01  -1.000000000000000000e+00
1.169999999999999929e+00  1.659999999999999920e+00  2.518000000000000238e-01  -5.669999999999999485e-01  -8.071000000000000396e-01  -1.000000000000000000e+00
1.179999999999999938e+00  1.639999999999999902e+00  2.459999999999999964e-01  -5.750999999999999446e-01  -7.989000000000000545e-01  -1.000000000000000000e+00
1.189999999999999947e+00  1.620000000000000107e+00  2.403000000000000136e-01  -5.829999999999999627e-01  -7.906999999999999584e-01  -1.000000000000000000e+00
1.199999999999999956e+00  1.600000000000000089e+00  2.343999999999999972e-01  -5.908999999999999808e-01  -7.824999999999999734e-01  -1.000000000000000000e+00
1.209999999999999964e+00  1.580000000000000071e+00  2.283999999999999919e-01  -5.987000000000000099e-01  -7.742999999999999883e-01  -1.000000000000000000e+00
1.219999999999999973e+00  1.560000000000000053e+00  2.223999999999999866e-01  -6.064000000000000501e-01  -7.660000000000000142e-01  -1.000000000000000000e+00
1.229999999999999982e+00  1.540000000000000036e+00  2.162999999999999923e-01  -6.139999999999999902e-01  -7.578000000000000291e-01  -1.000000000000000000e+00
1.239999999999999991e+00  1.520000000000000018e+00  2.101000000000000090e-01  -6.215000000000000524e-01  -7.495000000000000551e-01  -1.000000000000000000e+00
