S V(S) theta
1.595357832978383295e+00 2.039400433462884854e-01 1.250000000000000000e-01
1.597958901146256494e+00 2.033280486145815080e-01 1.250000000000000000e-01
1.600556390598500967e+00 2.027186565875630508e-01 1.250000000000000000e-01
1.603150303529999654e+00 2.021118552769504140e-01 1.250000000000000000e-01
1.605740642135635721e+00 2.015076328099250358e-01 1.250000000000000000e-01
1.608327408610291887e+00 2.009059774279020605e-01 1.250000000000000000e-01
1.610910605148850649e+00 2.003068774853162259e-01 1.250000000000000000e-01
1.613490233946195396e+00 1.997103214484228506e-01 1.250000000000000000e-01
1.616066297197208623e+00 1.991162978941154460e-01 1.250000000000000000e-01
1.618638797160834919e+00 1.985247954703903972e-01 1.250000000000000000e-01
1.621207736500000385e+00 1.979358026617768496e-01 1.250000000000000000e-01
1.623773118030791274e+00 1.973493079452547927e-01 1.250000000000000000e-01
1.626334944569384877e+00 1.967652999069668951e-01 1.250000000000000000e-01
1.628893218931958708e+00 1.961837672415193690e-01 1.250000000000000000e-01
1.631447943934690059e+00 1.956046987508416601e-01 1.250000000000000000e-01
1.633999122393756886e+00 1.950280833430602656e-01 1.250000000000000000e-01
1.636546757125335816e+00 1.944539100313870672e-01 1.250000000000000000e-01
1.639090850945604139e+00 1.938821679330219594e-01 1.250000000000000000e-01
1.641631406670740034e+00 1.933128462680688553e-01 1.250000000000000000e-01
1.644168427176154079e+00 1.927459343213844545e-01 1.250000000000000000e-01
1.646701915711699771e+00 1.921814212146020495e-01 1.250000000000000000e-01
1.649231875668894398e+00 1.916192960571465598e-01 1.250000000000000000e-01
1.651758310439297883e+00 1.910595480600033591e-01 1.250000000000000000e-01
1.654281223414470148e+00 1.905021665351057658e-01 1.250000000000000000e-01
1.656800617985971558e+00 1.899471408942895179e-01 1.250000000000000000e-01
1.659316497545362257e+00 1.893944606482608761e-01 1.250000000000000000e-01
1.661828865484201501e+00 1.888441154055766624e-01 1.250000000000000000e-01
1.664337725194049655e+00 1.882960948716379257e-01 1.250000000000000000e-01
1.666843080066466865e+00 1.877503888476957650e-01 1.250000000000000000e-01
1.669344933547485477e+00 1.872069871942066421e-01 1.250000000000000000e-01
1.671843289428016410e+00 1.866658796102320661e-01 1.250000000000000000e-01
1.674338151628981253e+00 1.861270557790131452e-01 1.250000000000000000e-01
1.676829524071292710e+00 1.855905054784006136e-01 1.250000000000000000e-01
1.679317410675863931e+00 1.850562185803176773e-01 1.250000000000000000e-01
1.681801815363606956e+00 1.845241850498003933e-01 1.250000000000000000e-01
1.684282742055434490e+00 1.839943949440497051e-01 1.250000000000000000e-01
1.686760194672259017e+00 1.834668384114951367e-01 1.250000000000000000e-01
1.689234177134993686e+00 1.829415056908703929e-01 1.250000000000000000e-01
1.691704693364550760e+00 1.824183871103003118e-01 1.250000000000000000e-01
1.694171747331648437e+00 1.818974730522632532e-01 1.250000000000000000e-01
1.696635343322488998e+00 1.813787537410401218e-01 1.250000000000000000e-01
1.699095485741549005e+00 1.808622193824046820e-01 1.250000000000000000e-01
1.701552178993242181e+00 1.803478602703631750e-01 1.250000000000000000e-01
1.704005427481981139e+00 1.798356667866817249e-01 1.250000000000000000e-01
1.706455235612180488e+00 1.793256294000040718e-01 1.250000000000000000e-01
1.708901607788253285e+00 1.788177386649808798e-01 1.250000000000000000e-01
1.711344548414612809e+00 1.783119852214085088e-01 1.250000000000000000e-01
1.713784061895673005e+00 1.778083597933788063e-01 1.250000000000000000e-01
1.716220152635846929e+00 1.773068531884391674e-01 1.250000000000000000e-01
1.718652825084807878e+00 1.768074562642410474e-01 1.250000000000000000e-01
1.721082083978662691e+00 1.763101597246080898e-01 1.250000000000000000e-01
1.723507934160049437e+00 1.758149542529853782e-01 1.250000000000000000e-01
1.725930380471486059e+00 1.753218306151798078e-01 1.250000000000000000e-01
1.728349427755489831e+00 1.748307796589435859e-01 1.250000000000000000e-01
1.730765080854579585e+00 1.743417923131625746e-01 1.250000000000000000e-01
1.733177344611272819e+00 1.738548595870547386e-01 1.250000000000000000e-01
1.735586223868087474e+00 1.733699725693780558e-01 1.250000000000000000e-01
1.737991723467541716e+00 1.728871224276473662e-01 1.250000000000000000e-01
1.740393848252153486e+00 1.724063004073611571e-01 1.250000000000000000e-01
1.742792603105296712e+00 1.719274978003924592e-01 1.250000000000000000e-01
1.745187993168240137e+00 1.714507057501482024e-01 1.250000000000000000e-01
1.747580023677099526e+00 1.709759153785001540e-01 1.250000000000000000e-01
1.749968699867813005e+00 1.705031178842620065e-01 1.250000000000000000e-01
1.752354026976318258e+00 1.700323045428208391e-01 1.250000000000000000e-01
1.754736010238553634e+00 1.695634667053895761e-01 1.250000000000000000e-01
1.757114654890456817e+00 1.690965957982688561e-01 1.250000000000000000e-01
1.759489966167966379e+00 1.686316833221172817e-01 1.250000000000000000e-01
1.761861949307019559e+00 1.681687208512301357e-01 1.250000000000000000e-01
1.764230609543554928e+00 1.677077000328265344e-01 1.250000000000000000e-01
1.766595952150125548e+00 1.672486125572201499e-01 1.250000000000000000e-01
1.768957982629296932e+00 1.667914499724456878e-01 1.250000000000000000e-01
1.771316706566928190e+00 1.663362038044703672e-01 1.250000000000000000e-01
1.773672129548639509e+00 1.658828656511867339e-01 1.250000000000000000e-01
1.776024257160051745e+00 1.654314271820837567e-01 1.250000000000000000e-01
1.778373094986785752e+00 1.649818801375585453e-01 1.250000000000000000e-01
