w  L  F   dF   ddF gamma2
1.120000000000000107e+00  7.759999999999999787e+00  1.331700000000000106e+00  6.889999999999999458e-01  -8.509999999999999787e-01  -8.610999999999999766e-01
1.129999999999999893e+00  7.740000000000000213e+00  1.338500000000000023e+00  6.804999999999999938e-01  -8.498999999999999888e-01  -8.610999999999999766e-01
1.139999999999999902e+00  7.719999999999999751e+00  1.345299999999999940e+00  6.720000000000000417e-01  -8.488999999999999879e-01  -8.610999999999999766e-01
1.149999999999999911e+00  7.700000000000000178e+00  1.352000000000000091e+00  6.634999999999999787e-01  -8.477999999999999980e-01  -8.610999999999999766e-01
1.159999999999999920e+00  7.679999999999999716e+00  1.358600000000000030e+00  6.550000000000000266e-01  -8.467999999999999972e-01  -8.610999999999999766e-01
1.169999999999999929e+00  7.660000000000000142e+00  1.365099999999999980e+00  6.465999999999999526e-01  -8.457000000000000073e-01  -8.610999999999999766e-01
1.179999999999999938e+00  7.639999999999999680e+00  1.371499999999999941e+00  6.381000000000000005e-01  -8.445000000000000284e-01  -8.610999999999999766e-01
1.189999999999999947e+00  7.620000000000000107e+00  1.377799999999999914e+00  6.297000000000000375e-01  -8.434000000000000385e-01  -8.610999999999999766e-01
1.199999999999999956e+00  7.599999999999999645e+00  1.384100000000000108e+00  6.212999999999999634e-01  -8.421999999999999487e-01  -8.610999999999999766e-01
1.209999999999999964e+00  7.580000000000000071e+00  1.390300000000000091e+00  6.128000000000000114e-01  -8.410999999999999588e-01  -8.610999999999999766e-01
1.219999999999999973e+00  7.559999999999999609e+00  1.396300000000000097e+00  6.044000000000000483e-01  -8.398999999999999799e-01  -8.610999999999999766e-01
1.229999999999999982e+00  7.540000000000000036e+00  1.402300000000000102e+00  5.959999999999999742e-01  -8.387000000000000011e-01  -8.610999999999999766e-01
1.239999999999999991e+00  7.519999999999999574e+00  1.408300000000000107e+00  5.877000000000000002e-01  -8.374000000000000332e-01  -8.610999999999999766e-01
1.250000000000000000e+00  7.500000000000000000e+00  1.414099999999999913e+00  5.793000000000000371e-01  -8.362000000000000544e-01  -8.610999999999999766e-01
1.260000000000000009e+00  7.480000000000000426e+00  1.419799999999999951e+00  5.708999999999999631e-01  -8.348999999999999755e-01  -8.610999999999999766e-01
1.270000000000000018e+00  7.459999999999999964e+00  1.425499999999999989e+00  5.625999999999999890e-01  -8.336000000000000076e-01  -8.610999999999999766e-01
1.280000000000000027e+00  7.440000000000000391e+00  1.431100000000000039e+00  5.543000000000000149e-01  -8.323000000000000398e-01  -8.610999999999999766e-01
1.290000000000000036e+00  7.419999999999999929e+00  1.436600000000000099e+00  5.460000000000000409e-01  -8.309999999999999609e-01  -8.610999999999999766e-01
1.300000000000000044e+00  7.400000000000000355e+00  1.441999999999999948e+00  5.375999999999999668e-01  -8.296999999999999931e-01  -8.610999999999999766e-01
1.310000000000000053e+00  7.379999999999999893e+00  1.447400000000000020e+00  5.293999999999999817e-01  -8.283000000000000362e-01  -8.610999999999999766e-01
1.320000000000000062e+00  7.360000000000000320e+00  1.452599999999999891e+00  5.211000000000000076e-01  -8.268999999999999684e-01  -8.610999999999999766e-01
