w  L  F   dF   ddF gamma2
7.800000000000000266e-01  8.439999999999999503e+00  2.346200000000000063e+00  2.149300000000000210e+00  -2.201299999999999812e+00  -4.000000000000000000e+00
7.900000000000000355e-01  8.419999999999999929e+00  2.367599999999999927e+00  2.127299999999999969e+00  -2.198700000000000099e+00  -4.000000000000000000e+00
8.000000000000000444e-01  8.400000000000000355e+00  2.388799999999999812e+00  2.105300000000000171e+00  -2.195899999999999963e+00  -4.000000000000000000e+00
8.100000000000000533e-01  8.380000000000000782e+00  2.409699999999999953e+00  2.083299999999999930e+00  -2.193099999999999827e+00  -4.000000000000000000e+00
8.199999999999999512e-01  8.359999999999999432e+00  2.430400000000000116e+00  2.061399999999999899e+00  -2.190100000000000158e+00  -4.000000000000000000e+00
8.299999999999999600e-01  8.339999999999999858e+00  2.450899999999999856e+00  2.039499999999999869e+00  -2.186900000000000066e+00  -4.000000000000000000e+00
8.399999999999999689e-01  8.320000000000000284e+00  2.471200000000000063e+00  2.017700000000000049e+00  -2.183699999999999974e+00  -4.000000000000000000e+00
8.499999999999999778e-01  8.300000000000000711e+00  2.491299999999999848e+00  1.995900000000000007e+00  -2.180299999999999905e+00  -4.000000000000000000e+00
8.599999999999999867e-01  8.279999999999999361e+00  2.511200000000000099e+00  1.974099999999999966e+00  -2.176899999999999835e+00  -4.000000000000000000e+00
8.699999999999999956e-01  8.259999999999999787e+00  2.530800000000000161e+00  1.952299999999999924e+00  -2.173299999999999788e+00  -4.000000000000000000e+00
8.800000000000000044e-01  8.240000000000000213e+00  2.550199999999999800e+00  1.930600000000000094e+00  -2.169500000000000206e+00  -4.000000000000000000e+00
8.900000000000000133e-01  8.220000000000000639e+00  2.569399999999999906e+00  1.908900000000000041e+00  -2.165700000000000180e+00  -4.000000000000000000e+00
9.000000000000000222e-01  8.199999999999999289e+00  2.588400000000000034e+00  1.887299999999999978e+00  -2.161799999999999944e+00  -4.000000000000000000e+00
9.100000000000000311e-01  8.179999999999999716e+00  2.607099999999999973e+00  1.865699999999999914e+00  -2.157700000000000173e+00  -4.000000000000000000e+00
9.200000000000000400e-01  8.160000000000000142e+00  2.625700000000000145e+00  1.844200000000000061e+00  -2.153500000000000192e+00  -4.000000000000000000e+00
9.300000000000000488e-01  8.140000000000000568e+00  2.644000000000000128e+00  1.822599999999999998e+00  -2.149199999999999999e+00  -4.000000000000000000e+00
9.399999999999999467e-01  8.119999999999999218e+00  2.662100000000000133e+00  1.801199999999999912e+00  -2.144800000000000040e+00  -4.000000000000000000e+00
9.499999999999999556e-01  8.099999999999999645e+00  2.680099999999999927e+00  1.779700000000000060e+00  -2.140299999999999869e+00  -4.000000000000000000e+00
9.599999999999999645e-01  8.080000000000000071e+00  2.697700000000000209e+00  1.758399999999999963e+00  -2.135699999999999932e+00  -4.000000000000000000e+00
9.699999999999999734e-01  8.060000000000000497e+00  2.715199999999999836e+00  1.737000000000000099e+00  -2.130900000000000016e+00  -4.000000000000000000e+00
9.799999999999999822e-01  8.039999999999999147e+00  2.732499999999999929e+00  1.715700000000000003e+00  -2.126100000000000101e+00  -4.000000000000000000e+00
9.899999999999999911e-01  8.019999999999999574e+00  2.749499999999999833e+00  1.694499999999999895e+00  -2.121100000000000207e+00  -4.000000000000000000e+00
1.000000000000000000e+00  8.000000000000000000e+00  2.766399999999999970e+00  1.673300000000000010e+00  -2.116099999999999870e+00  -4.000000000000000000e+00
1.010000000000000009e+00  7.980000000000000426e+00  2.782999999999999918e+00  1.652199999999999891e+00  -2.110899999999999999e+00  -4.000000000000000000e+00
1.020000000000000018e+00  7.959999999999999964e+00  2.799399999999999888e+00  1.631099999999999994e+00  -2.105599999999999916e+00  -4.000000000000000000e+00
1.030000000000000027e+00  7.940000000000000391e+00  2.815599999999999881e+00  1.610100000000000087e+00  -2.100200000000000067e+00  -4.000000000000000000e+00
1.040000000000000036e+00  7.919999999999999929e+00  2.831599999999999895e+00  1.589099999999999957e+00  -2.094700000000000006e+00  -4.000000000000000000e+00
1.050000000000000044e+00  7.900000000000000355e+00  2.847399999999999931e+00  1.568200000000000038e+00  -2.089199999999999946e+00  -4.000000000000000000e+00
1.060000000000000053e+00  7.879999999999999893e+00  2.862999999999999989e+00  1.547299999999999898e+00  -2.083499999999999908e+00  -4.000000000000000000e+00
